Name;Length;WingSpan;WingArea;EmptyMass;MaxFuelMass;CritAirSpd;CritAirSpdMach;CritGearSpd;CombatFlaps;TakeoffFlaps;CritFlapsSpd;CritWingOverload;NumEngines;RPM;MaxNitro;NitroConsum;CritAoA
a-10a_early;10.8;17.5;46.8;11520;4853;874;0.8;370.4;0;24;0.33,740,1,370.4;-220000,750000;2;11400,17900,18500;0;0;21.5,-16,23.5,-15
a-10a_late;10.8;17.5;46.8;11520;4853;874;0.8;370.4;0;24;0.33,740,1,370.4;-220000,750000;2;11400,17900,18500;0;0;21.5,-16,23.5,-15
a-10c;10.8;17.5;46.8;11590;10111;874;0.8;370.4;0;24;0.33,740,1,370.4;-220000,750000;2;11400,17900,18500;0;0;21.5,-16,23.5,-15
a-20g;14.63;18.693;43.1813;7742;1090;696;0.703;296;20;33;0.1,445,1,296;-131700,263400;2;600,2401,2760;0;0;16,-15.5,14.5,-13
a-26b;15.469;21.336;50.214;10332;2522;718;0.71;270;20;33;0.1,527,1,351;-322000,445000;2;550,2701,3400;162.8;0.09;15.5,-15,12.5,-12
a-26b_10;15.469;21.336;50.214;10192;2522;718;0.71;270;20;33;0.1,527,1,351;-322000,445000;2;550,2701,3400;0;0;15.5,-15,12.5,-12
a-26c;15.621;21.336;50.214;10340;2182.1;718;0.71;270;20;33;0.1,527,1,351;-322000,445000;2;550,2701,3400;162.8;0.09;15.5,-15,12.5,-12
a2d;12.5984;15.24;37.254;7148;1061.41;875;0.82;301;20;33;0,600,0.21,420,0.33,351,1,301;-191615,415165;2;6300,14300,20000;0;0;18,-18,16.5,-17.2
a5m4;7.565;11;17.8;1354;172.8;558;0.7;558;20;33;0.1,420,1,220;-38000,102000;1;300,2600,3000;0;0;17.2,-17,14.1,-20
a6m2_mod11;9.05;11.8;22.438;1821;385.2;660;0.83;310;20;33;0.1,510,1,280;-84523.2,149473;1;100,2550,2650;0;0;17,-14.5,16.5,-13
a6m2_n_zero;9.05;11.8;22.14;1823;464.2;650;0.83;550;20;33;0.1,520.4,1,320.4;-127138,151757;1;100,2550,2650;0;0;17,-14.5,16.5,-13
a6m2_zero;9.05;11.8;22.438;1864;385.2;660;0.83;310;20;33;0.1,510,1,280;-84523.2,149473;1;100,2550,2650;0;0;17,-14.5,16.5,-13
a6m3_mod22_zero;9.05;12;22.438;2086;417.6;660;0.79;240;20;33;0.1,420,1,220;-79507.4,175027;1;500,2750,3000;0;0;17,-14.5,16.5,-13
a6m3_zero;9.05;11;21.838;1990;592.7;703;0.83;290;20;33;0.1,420,1,220;-79507.4,175027;1;500,2750,3000;0;0;17,-14.5,16.5,-13
a6m5_hei;9.05;11;21.3;2478;475.2;777;0.83;300;20;33;0.1,420,1,220;-153260,204347;1;500,2750,3000;0;0;17,-14.5,16.5,-13
a6m5_ko_otsu;9.05;11;21.3;2088;417.6;777;0.83;300;20;33;0.1,420,1,220;-79507.4,182256;1;500,2750,3000;0;0;17,-14.5,16.5,-13
a6m5_zero;9.05;11;21.3;2094;417.6;703;0.83;300;20;33;0.1,420,1,220;-79507.4,182256;1;500,2750,3000;0;0;17,-14.5,16.5,-13
a6m6c;9.05;11;21.3;2401;475.2;777;0.83;300;20;33;0.1,420,1,220;-153260,204347;1;500,2800,3000;70;0.1577;17,-14.5,16.5,-13
a7he1;9.3;9.1;16.98;1911;200;730;0.8;450;20;33;0.1,520.4,1,320.4;-148989,148989;1;400,2700,2800;0;0;17.2,-17,14.1,-20
a7m1;10.984;14;30.72;3164;613;826;0.83;310;20;33;0.1,510,1,280;-195878,241668;1;400,3000,3500;116;0.0942;17.57,-17.7,16,-15
a7m2;10.984;14;30.72;3284;613;826;0.87;310;20;33;0.1,510,1,280;-184523,237699;1;400,2900,3200;116;0.0942;17.57,-17.7,16,-15
a_109_eoa2;16;3.4;0.6;1560;450;420;0.79;420;0;0;;-70000,130000;2;4000,6016,7600;0;0;28.6,-28,22.6,-21
a_129_a;16;3.4;2.4;3100;933;460;0.79;420;0;0;;-70000,130000;2;4700,6850,8900;0;0;28.6,-28,22.6,-21
a_129_cbt;16;3.4;2.4;3160;933;460;0.79;420;0;0;;-70000,130000;2;4700,6150,8100;0;0;28.6,-28,22.6,-21
